property,property,property,property,0,0,0,0,0,1,1,1,1
name,FeH,N,fitness,mass,energy,mixing,remnant,offset,model,mass,age,offset
J0003+1556,-2.23,17,9.31257483510085,27.5,5.000000000000001,0.015848931924611134,1.593,0.001408363227956011,3,0.027,13.0,9.061058903192531e-09
J0006+0123,-2.27,14,4.509366338511299,11.3,0.9,0.01,1.487,0.0073118167122610545,3,0.027,13.0,8.921927752147951e-09
J0040+2729,-2.81,22,3.2326648985888906,27.5,10.000000000000002,0.06309573444801933,1.592,0.00024993132744777213,3,0.027,13.0,4.475403769799158e-09
J0041+3633,-2.37,18,9.386959103227467,32.5,5.000000000000001,0.0,1.988,0.0009867272377936942,3,0.027,13.0,3.5590827507370193e-09
J0055+1857,-2.34,19,7.553796255264705,11.3,1.2000000000000002,0.001,1.476,0.0045592188926701915,3,0.027,13.0,4.240389428478153e-09
J0119-0121,-3.19,11,14.977722141086783,13.4,0.6000000000000001,0.025118864315095794,2.232,0.19731076348601034,6,0.0459,13.0,5.0260833162063534e-08
J0124+0458,-3.22,16,4.21676218426161,27.5,5.000000000000001,0.015848931924611134,1.593,0.00014672292003292675,3,0.027,13.0,2.206516747094156e-09
J0127+1100,-2.41,17,4.508513059290815,19.8,1.8,0.0,1.628,0.0010559098237308273,1,0.0276,13.0,7.1016041380822514e-09
J0159+1219,-1.94,17,7.974152677222972,15.0,10.000000000000002,0.251188643150958,1.432,0.002827247208220307,3,0.027,13.0,1.7604204982646365e-08
J0302+1356,-1.88,20,3.880064486264529,27.5,10.000000000000002,0.039810717055349734,1.592,0.0022574645771685775,3,0.027,13.0,9.775509735021615e-09
J0405+2141,-3.21,16,4.044250205092769,13.4,1.2000000000000002,0.00630957344480193,1.59,0.0005046603576250863,3,0.027,13.0,1.6862143903395577e-09
J0446+2124,-2.82,16,6.0401695257740915,13.2,0.9,0.06309573444801933,1.888,0.0029030949269902573,10,0.0157,0.1,8.142696572566166e-09
J0554+5235,-2.29,17,19.175627224867462,22.5,1.8,0.025118864315095794,1.504,0.0014452512869677636,3,0.027,13.0,1.3952069555234203e-08
J0643+5934,-2.57,18,6.2732478549327535,14.4,1.5,0.015848931924611134,1.725,0.0016975529757753405,3,0.027,13.0,2.297065371248408e-09
J0653+4735,-2.41,22,8.372703745016382,11.3,0.9,0.00630957344480193,1.487,0.006204077146394316,5,0.0439,13.0,7.491503528633814e-09
J0711+3538,-3.25,16,1.3523359660933165,32.5,5.000000000000001,0.001,1.988,0.00012397347479903287,3,0.027,13.0,5.599144481394092e-10
J0748+3209,-3.08,14,2.6149610984575355,10.6,0.9,0.001,1.405,0.003102098356244254,11,0.0122,13.0,1.670219407223783e-09
J0804+5740,-2.47,22,5.463504836010357,33.0,10.000000000000002,0.001584893192461114,2.077,0.0005944849721081225,3,0.027,13.0,6.359095638952539e-09
J0824+3025,-2.72,7,inf,10.5,0.30000000000000004,0.01,1.53,0.1164019843883376,15,0.1072,0.1,3.7271254138548926e-08
J0934-0108,-2.34,19,4.0229570904297525,13.4,1.5,0.251188643150958,1.576,0.002293064243672205,3,0.027,13.0,3.039081875044758e-09
J0948+0000,-2.79,16,14.47105658471228,11.3,0.9,0.0025118864315095794,1.487,0.0030253781022203108,3,0.027,0.1,1.0751543155773646e-08
J0949+2707,-2.9,10,2.0458874245846297,10.6,0.30000000000000004,0.00630957344480193,1.437,0.032845549794787654,10,0.0157,0.1,8.720828365005318e-08
J1003-0358,-2.18,14,10.535517178199871,11.9,0.6000000000000001,0.015848931924611134,1.666,0.04216631197851678,9,0.0154,13.0,3.653370428402525e-08
J1005-0350,-2.29,16,2.3408502597873215,13.4,1.8,0.01,1.572,0.0028689863643908686,1,0.0276,13.0,5.651181633758995e-09
J1011+3524,-2.25,13,13.630838879970597,11.9,0.6000000000000001,0.015848931924611134,1.666,0.03677703935517346,4,0.029,13.0,3.146362381745149e-08
J1020+4046,-2.94,14,3.958093815076244,10.9,0.30000000000000004,0.01,1.59,0.1946676825798378,10,0.0157,0.1,2.2297567903173388e-08
J1044+3713,-2.03,20,2.3405069653120925,13.4,1.5,0.0,1.576,0.0053438792240768085,3,0.027,13.0,1.569011809365861e-08
J1044-0358,-2.13,14,8.40529205833214,11.9,0.6000000000000001,0.015848931924611134,1.666,0.055109513634921226,2,0.0296,13.0,5.112533291162791e-08
J1058-0138,-2.28,12,8.096349388184937,14.2,0.9,0.06309573444801933,2.354,0.01351294734833286,6,0.0459,13.0,2.841777457796013e-08
J1059+0208,-2.3,18,5.3343146099316705,22.5,1.8,0.015848931924611134,1.504,0.0013945306221179732,3,0.027,13.0,5.973230521316708e-09
J1101+2031,-2.52,17,3.8813183824940287,13.4,1.5,0.01,1.576,0.0019199501496009463,3,0.027,13.0,2.0321286320346132e-09
J1102+0102,-2.32,19,13.044385427050424,15.8,1.8,0.025118864315095794,1.678,0.0017535027315599971,1,0.0276,13.0,3.876266141400464e-09
J1109+0754,-3.31,20,4.407994073927403,28.0,10.000000000000002,0.00630957344480193,1.597,9.384062692957551e-05,3,0.027,13.0,9.723887250956409e-10
J1122+1223,-2.3,17,5.919116927727551,13.4,1.2000000000000002,0.015848931924611134,1.59,0.0029968209599461337,3,0.027,13.0,5.1659179156615664e-09
J1145+0359,-2.43,20,2.6068935254944945,28.5,10.000000000000002,0.025118864315095794,1.625,0.000695896878758262,3,0.027,13.0,7.357873088587041e-09
J1158+0734,-2.93,21,2.7198913737785095,33.5,3.0,0.0,2.153,0.00030206093992679595,4,0.029,13.0,1.2744531541208914e-09
J1205+1309,-1.67,19,4.525771644926401,15.8,2.4000000000000004,0.001,1.571,0.005100162904944083,4,0.029,13.0,2.037830015844122e-08
J1207+2244,-2.76,19,5.068618707519017,30.5,10.000000000000002,0.001,1.77,0.000349687280168709,3,0.027,13.0,1.6755753451391797e-09
J1208+3954,-2.64,19,3.5283975099468736,32.5,5.000000000000001,0.0,1.988,0.0005038694017968082,3,0.027,13.0,2.1266055583168963e-09
J1213+2506,-2.83,14,12.095731703034058,27.0,10.000000000000002,0.001,1.727,0.00026142531429551585,3,0.027,13.0,3.0933174355318727e-09
J1218+2838,-2.13,16,3.0280425643489264,22.5,10.000000000000002,0.06309573444801933,1.492,0.0015654196698425826,3,0.027,13.0,7.3360546526402e-09
J1221+0907,-2.34,19,5.041803197204806,14.4,1.5,0.015848931924611134,1.725,0.0031216426111644324,3,0.027,13.0,5.20413384608176e-09
J1225-0452,-2.52,20,2.3096906820449896,32.0,5.000000000000001,0.0,1.945,0.0006459224775805517,3,0.027,13.0,2.3866897347346594e-09
J1226+2323,-2.47,20,7.119289452642811,32.5,5.000000000000001,0.0,1.988,0.0007796464368658995,3,0.027,13.0,2.5107155798842484e-09
J1236+3424,-2.53,18,3.0814401420418687,14.4,1.5,0.025118864315095794,1.725,0.0015760924864278159,3,0.027,13.0,2.4381972552056652e-09
J1250-0307,-2.07,16,1.8478582501179668,14.4,1.8,0.025118864315095794,1.67,0.002675159321869902,1,0.0276,4.0,6.5913876579060116e-09
J1300+2632,-1.28,16,4.678924107658934,13.6,0.9,0.06309573444801933,2.076,0.1622306473963202,10,0.0157,0.1,6.890025594508131e-08
J1341+3255,-2.81,20,1.476083041544302,31.5,5.000000000000001,0.001,1.94,0.00034475601040923065,1,0.0276,13.0,2.2509710762008694e-09
J1345+0513,-2.69,19,9.533166772163016,27.5,3.0,0.001,1.595,0.0004722003122626939,3,0.027,13.0,9.092921970932366e-10
J1352+2646,-3.06,17,5.234058312546495,27.5,10.000000000000002,0.015848931924611134,1.592,0.00016881498935339412,3,0.027,13.0,8.326137557190805e-10
J1400+1215,-2.42,19,3.7136541225249236,14.4,1.5,0.025118864315095794,1.725,0.0016030883455268596,3,0.027,13.0,3.941412141106326e-09
J1400+4926,-2.58,17,3.1122454303807454,14.4,1.5,0.025118864315095794,1.725,0.0012748600312824654,1,0.0276,13.0,2.0384441357101934e-09
J1413+1727,-3.25,16,2.926538158927988,28.5,10.000000000000002,0.0025118864315095794,1.625,0.0001075007543335782,3,0.027,13.0,4.60897153775619e-10
J1414+1457,-2.58,20,5.11593811454914,32.5,5.000000000000001,0.001584893192461114,1.988,0.0005612160140321953,3,0.027,13.0,2.4591329528256267e-09
J1414+1721,-2.45,17,5.791266268246905,13.4,1.5,0.0,1.576,0.0021086403432700185,3,0.027,13.0,3.3639914742700228e-09
J1423+0322,-2.61,19,7.097891817671436,28.5,10.000000000000002,0.251188643150958,1.625,0.00044981774124314144,3,0.027,13.0,2.1031880126365365e-09
J1434+3540,-1.91,16,10.986979762275507,11.3,0.9,0.00630957344480193,1.487,0.016520894620707327,18,0.112,13.0,6.654983392140323e-08
J1459+0444,-2.76,20,4.033262441876147,27.5,10.000000000000002,0.039810717055349734,1.592,0.00032417962524100563,3,0.027,13.0,1.1215636752659464e-09
J1501+3445,-2.61,18,2.1189932617620175,14.0,1.5,0.015848931924611134,1.664,0.0013140749635217608,3,0.027,13.0,3.418354099782306e-09
J1516+0442,-2.33,19,3.813901053244028,31.5,5.000000000000001,0.0,1.94,0.0010141673952454577,3,0.027,13.0,2.420154354698667e-09
J1518+2544,-2.15,18,17.051721156947888,28.0,10.000000000000002,0.001584893192461114,1.597,0.001497083947007094,3,0.027,13.0,1.1653503828590317e-08
J1520+5500,-2.18,18,2.8365670058773134,22.5,10.000000000000002,0.06309573444801933,1.492,0.001299735522102663,3,0.027,13.0,7.945280600107907e-09
J1523+0714,-2.63,21,2.3679974865831714,28.5,5.000000000000001,0.251188643150958,1.626,0.000345494938685742,3,0.027,13.0,2.2538690913620485e-09
J1548+2113,-2.33,17,9.19995726266546,14.4,1.8,0.01,1.67,0.0015276619115510148,3,0.027,13.0,2.2452989467680595e-09
J1551+2040,-2.48,18,18.99844456308887,10.6,0.30000000000000004,0.01,1.437,0.02281885344143808,4,0.029,8.0,3.2972005126197246e-08
J1604+1305,-2.15,20,3.3245782808006146,14.4,1.8,0.01,1.67,0.003233369670821551,3,0.027,13.0,2.6493462701449033e-08
J1612-0207,-2.14,18,12.57392713663587,22.5,1.8,0.251188643150958,1.504,0.0019952538637380557,3,0.027,13.0,8.445163124370936e-09
J1634+0206,-2.15,18,7.149000630113242,32.5,5.000000000000001,0.0,1.988,0.0015066768092021898,3,0.027,13.0,8.084294289556482e-09
J1640+1550,-2.89,18,13.61348724458176,25.0,10.000000000000002,0.001584893192461114,2.168,0.00014418243270031272,3,0.027,13.0,1.1762369966916708e-09
J1641+0334,-3.26,12,2.2768548642606765,11.3,0.9,0.00630957344480193,1.487,0.0009218820853717502,9,0.0154,13.0,1.505529811929307e-09
J1650+4313,-3.02,16,2.792988421165862,14.4,1.8,0.01,1.67,0.0005357612941449541,3,0.027,13.0,1.715360131715471e-09
J1657+3443,-2.6,20,3.4354452729254605,14.4,1.5,0.025118864315095794,1.725,0.0013751303525764147,3,0.027,13.0,2.76873796112298e-09
J1702+1732,-2.29,17,1.2699128758739777,14.4,1.5,0.025118864315095794,1.725,0.0026478135057578234,3,0.027,13.0,5.9462729185000285e-09
J1717+2449,-2.45,22,4.027711056053788,25.5,2.4000000000000004,0.025118864315095794,1.874,0.0012821069520617123,1,0.0276,13.0,7.893617814946907e-09
J1719+1358,-2.77,19,2.968583114752724,28.0,10.000000000000002,0.0,1.597,0.0003269752540675519,3,0.027,13.0,1.3588744574022371e-09
J1730+4143,-2.5,19,7.19254755850876,13.4,1.5,0.0,1.576,0.0018896652656930635,3,0.027,13.0,2.807777566005143e-09
J1745+5410,-2.03,19,4.531830935728632,13.4,1.5,0.001,1.576,0.004803136587251067,3,0.027,13.0,9.590472249687565e-09
J1833+1309,-2.64,12,2.5183980971806075,10.5,0.6000000000000001,0.0025118864315095794,1.434,0.009149618960824502,3,0.027,13.0,5.13627473885947e-09
J2114-0616,-2.55,22,15.375296543362234,13.4,0.9,0.025118864315095794,1.657,0.0029396422263747723,5,0.0439,13.0,5.686625281775548e-09
J2159+0308,-2.83,20,3.310575348296972,19.8,5.000000000000001,0.0,1.607,0.00023464446039078712,3,0.027,13.0,1.9235739667777807e-09
J2211+0454,-0.63,19,9.697231659652624,11.3,0.6000000000000001,0.015848931924611134,1.508,0.4207109577894982,3,0.027,13.0,2.5548643844963692e-06
J2216+0246,-2.56,20,6.166557536468667,30.5,10.000000000000002,0.0025118864315095794,1.77,0.0005895918806394507,3,0.027,13.0,2.596140691313309e-09
J2256+0215,-2.27,23,9.504987939252752,22.5,1.5,0.025118864315095794,1.555,0.0019217482993625357,3,0.027,13.0,1.4483850396818099e-08
J2257+3859,-2.65,19,21.00094497324594,12.6,0.6000000000000001,0.039810717055349734,2.042,0.022700144556509316,18,0.112,13.0,5.499468658243245e-09
J2333+0505,-2.43,16,3.5520565626911633,10.7,0.9,0.003981071705534973,1.42,0.006392730254136059,3,0.027,13.0,4.674790665681883e-09
J2347+2851,-2.36,20,4.173529353501342,30.5,10.000000000000002,0.0025118864315095794,1.77,0.0008820042150210483,3,0.027,13.0,4.462125502424641e-09
J2349+3119,-2.01,20,5.189249560997774,19.8,5.000000000000001,0.251188643150958,1.607,0.001557818349208484,3,0.027,13.0,6.494604021245465e-09
