property,property,property,property,0,0,0,0,0,1,1,1
name,FeH,N,fitness,mass,energy,mixing,remnant,offset,model,age,offset
J0003+1556,-2.23,19,5.347389745258863,10.6,0.9,0.001,1.405,0.019125306678946796,33,13.000000000002737,1.3872599236020022e-08
J0006+0123,-2.27,18,6.29252573892239,11.3,0.6000000000000001,0.039810717055349734,1.508,0.006260299917042245,33,13.000000000002737,9.57447904292863e-09
J0040+2729,-2.81,21,3.799662519477036,10.7,0.6000000000000001,0.003981071705534973,1.433,0.004592273775803513,33,13.000000000002737,5.548401238453238e-09
J0041+3633,-2.37,20,4.612357413170155,11.3,0.6000000000000001,0.01,1.508,0.008460404894731044,33,13.000000000002737,6.254217199685996e-09
J0055+1857,-2.34,21,5.4507092640492525,10.7,0.9,0.001584893192461114,1.42,0.00875424528382901,33,13.000000000002737,5.903195599010758e-09
J0119-0121,-3.19,14,4.8363360143039165,10.6,0.30000000000000004,0.00630957344480193,1.437,0.022732607089084478,31,2.7379092627716654e-12,1.2818194039532216e-07
J0124+0458,-3.22,17,4.076932865903368,11.3,0.6000000000000001,0.01,1.508,0.0013384630382251017,33,13.000000000002737,3.0420695407151754e-09
J0127+1100,-2.41,19,5.664815679747257,18.0,0.6000000000000001,0.15848931924611134,4.296,0.008479404841880867,74,13.000000000002737,9.434536762942258e-09
J0159+1219,-1.94,21,2.7362039437098318,10.9,0.6000000000000001,0.00630957344480193,1.462,0.03755176904238583,111,13.000000000002737,4.742546394487235e-08
J0302+1356,-1.88,21,3.7211072072255655,14.4,1.5,0.015848931924611134,1.725,0.007931937402576306,33,13.000000000002737,1.6953628778626495e-08
J0405+2141,-3.21,17,5.666630457224458,11.3,0.6000000000000001,0.00630957344480193,1.508,0.0013827197824272108,33,13.000000000002737,2.451690350735447e-09
J0446+2124,-2.82,17,6.594699682848313,11.3,0.6000000000000001,0.015848931924611134,1.508,0.002620924027966376,31,2.7379092627716654e-12,6.081582354378057e-08
J0554+5235,-2.29,19,12.511588916187884,10.6,0.9,0.001,1.405,0.017363880613363802,21,13.000000000002737,3.624613376107533e-08
J0643+5934,-2.57,20,5.868196591806065,11.3,0.6000000000000001,0.01,1.508,0.00518550817748642,33,13.000000000002737,3.354859168247515e-09
J0653+4735,-2.41,20,6.164688572965308,11.3,0.6000000000000001,0.00630957344480193,1.508,0.007713097890786724,62,13.000000000002737,3.1397813016198484e-08
J0711+3538,-3.25,17,1.8394223308769724,13.4,1.2000000000000002,0.01,1.59,0.0003800230980597896,33,2.7379092627716654e-12,8.360875880519814e-10
J0748+3209,-3.08,17,3.080754219829294,10.9,0.6000000000000001,0.00630957344480193,1.462,0.002912234798926938,101,2.7379092627716654e-12,4.46621917227219e-09
J0804+5740,-2.47,21,4.6433348058728106,10.9,0.6000000000000001,0.00630957344480193,1.462,0.009638662455944857,33,13.000000000002737,1.1011730915999607e-08
J0824+3025,-2.72,10,4.961934614531365,10.2,1.8,0.06309573444801933,1.382,0.005501654889614793,101,2.7379092627716654e-12,8.835532516737743e-08
J0934-0108,-2.34,21,4.772900119632143,10.9,0.6000000000000001,0.00630957344480193,1.462,0.012415638404492335,101,13.000000000002737,3.5035749856859866e-09
J0948+0000,-2.79,16,9.670993925076218,11.3,0.6000000000000001,0.015848931924611134,1.508,0.002668928430359929,33,13.000000000002737,1.1802821386908136e-08
J0949+2707,-2.9,13,8.080736787396072,10.2,0.9,0.00630957344480193,1.383,0.028789400163741652,62,2.7379092627716654e-12,3.3207000899038164e-07
J1003-0358,-2.18,18,4.583852137768805,11.3,0.9,0.00630957344480193,1.487,0.009484103068229,62,13.000000000002737,1.737161728354586e-07
J1005-0350,-2.29,19,4.454232255200844,14.4,1.8,0.015848931924611134,1.67,0.002119927986579173,33,13.000000000002737,5.691067395119376e-09
J1011+3524,-2.25,16,7.463903473536009,11.3,0.6000000000000001,0.01,1.508,0.010880738290784675,74,13.000000000002737,6.115348732960157e-08
J1020+4046,-2.94,15,8.763452904248592,10.2,0.6000000000000001,0.251188643150958,1.384,0.006342431701284568,101,2.7379092627716654e-12,3.258031716635301e-08
J1044+3713,-2.03,21,4.183233376734672,10.7,0.6000000000000001,0.003981071705534973,1.433,0.023023577541484486,33,13.000000000002737,2.6107656203588903e-08
J1044-0358,-2.13,18,4.399012496804956,11.3,0.9,0.003981071705534973,1.487,0.013738342993759367,74,13.000000000002737,7.784963917956134e-08
J1058-0138,-2.28,16,6.82691553095567,11.3,1.2000000000000002,0.001584893192461114,1.476,0.005074662416990339,74,13.000000000002737,4.282955706758074e-08
J1059+0208,-2.3,20,4.641219180149742,10.6,0.30000000000000004,0.01,1.437,0.02699196019746697,101,13.000000000002737,9.146933932502321e-09
J1101+2031,-2.52,20,3.5402198139996206,10.7,0.6000000000000001,0.003981071705534973,1.433,0.008569491912851446,33,13.000000000002737,2.640096086192756e-09
J1102+0102,-2.32,20,5.191883082241314,10.6,0.30000000000000004,0.015848931924611134,1.437,0.015522743989884624,33,13.000000000002737,5.130927016594455e-09
J1109+0754,-3.31,21,4.0527752121205705,11.3,0.6000000000000001,0.00630957344480193,1.508,0.0012122427958931037,32,13.000000000002737,2.2881463390689305e-09
J1122+1223,-2.3,20,5.412517421506641,10.7,0.6000000000000001,0.003981071705534973,1.433,0.01455765993202679,33,13.000000000002737,7.537805712942713e-09
J1145+0359,-2.43,21,3.671533858560091,10.7,0.6000000000000001,0.003981071705534973,1.433,0.00949937308291715,33,13.000000000002737,1.1565491231380065e-08
J1158+0734,-2.93,21,3.7223742502664265,12.2,0.9,0.025118864315095794,1.639,0.0014008839368517823,101,13.000000000002737,2.1148297002504535e-09
J1205+1309,-1.67,20,3.2287537345750312,13.4,1.5,0.0025118864315095794,1.576,0.009465750060891231,101,13.000000000002737,3.176091811774029e-08
J1207+2244,-2.76,21,4.662026298887407,10.7,0.6000000000000001,0.003981071705534973,1.433,0.005224527184411909,33,13.000000000002737,1.734347054860308e-09
J1208+3954,-2.64,21,2.454647089836612,11.3,0.6000000000000001,0.01,1.508,0.0044681305696227525,33,13.000000000002737,3.348044674833517e-09
J1213+2506,-2.83,18,7.548646426412845,11.3,0.9,0.00630957344480193,1.487,0.0019555755699547372,33,13.000000000002737,2.76211498118073e-09
J1218+2838,-2.13,20,1.7210784544122257,10.7,0.6000000000000001,0.00630957344480193,1.433,0.019521572830062173,33,13.000000000002737,1.0342227407811322e-08
J1221+0907,-2.34,21,4.948913596831468,10.7,0.6000000000000001,0.003981071705534973,1.433,0.0152381650165625,33,13.000000000002737,6.429614507474923e-09
J1225-0452,-2.52,21,3.690557018246057,11.3,0.6000000000000001,0.01,1.508,0.005270636132584328,33,13.000000000002737,3.9607817026166e-09
J1226+2323,-2.47,21,5.482516451330947,11.3,0.6000000000000001,0.00630957344480193,1.508,0.008010406740681653,33,13.000000000002737,3.5615138616051922e-09
J1236+3424,-2.53,20,3.5812457756162246,10.7,0.6000000000000001,0.003981071705534973,1.433,0.008435314689021867,33,13.000000000002737,3.553627725416675e-09
J1250-0307,-2.07,19,2.812653540588011,11.3,0.6000000000000001,0.039810717055349734,1.508,0.008313760240514945,101,13.000000000002737,1.0822302165536257e-08
J1300+2632,-1.28,19,7.75307811672214,15.0,2.4000000000000004,0.01,1.435,0.022429353694665755,101,1.0000000000027378,1.1340490324585062e-07
J1341+3255,-2.81,21,2.5121291934755634,11.3,0.6000000000000001,0.015848931924611134,1.508,0.002426588896147941,101,13.000000000002737,3.0905502601541457e-09
J1345+0513,-2.69,21,5.983235164142969,12.2,0.9,0.015848931924611134,1.639,0.0039446018936233895,21,13.000000000002737,4.355611649131674e-09
J1352+2646,-3.06,20,4.7445872556646,11.9,0.6000000000000001,0.015848931924611134,1.666,0.005270221925234186,33,13.000000000002737,1.0463375721414536e-09
J1400+1215,-2.42,20,4.446737230283203,13.4,1.2000000000000002,0.015848931924611134,1.59,0.00196031403789082,33,13.000000000002737,7.05698488534523e-09
J1400+4926,-2.58,19,3.239202996656583,10.5,0.6000000000000001,0.003981071705534973,1.434,0.007059824260260306,33,13.000000000002737,2.6054126633923147e-09
J1413+1727,-3.25,18,3.320120113248468,11.3,0.6000000000000001,0.00630957344480193,1.508,0.001223041087733745,33,13.000000000002737,5.947810022277622e-10
J1414+1457,-2.58,21,3.657152958700205,11.3,0.6000000000000001,0.01,1.508,0.005265996010383134,33,13.000000000002737,3.926673819432125e-09
J1414+1721,-2.45,20,5.610058495154424,10.7,0.6000000000000001,0.003981071705534973,1.433,0.010995206794945145,33,13.000000000002737,4.198575431768603e-09
J1423+0322,-2.61,21,4.9492531609582375,10.7,0.6000000000000001,0.003981071705534973,1.433,0.006692913278934676,33,13.000000000002737,3.3767355578362412e-09
J1434+3540,-1.91,18,3.3309314883692864,13.4,1.5,0.001584893192461114,1.576,0.006914873639572217,74,13.000000000002737,1.1382949749449978e-07
J1459+0444,-2.76,21,3.4899139319848205,10.7,0.6000000000000001,0.003981071705534973,1.433,0.005635827146987404,33,13.000000000002737,1.9060442668639155e-09
J1501+3445,-2.61,20,2.451535705907649,11.9,0.6000000000000001,0.015848931924611134,1.666,0.011587579837898765,33,13.000000000002737,4.548707466245361e-09
J1516+0442,-2.33,21,3.8651608106345736,10.7,0.6000000000000001,0.00630957344480193,1.433,0.01151390192679419,33,13.000000000002737,4.407118392446563e-09
J1518+2544,-2.15,21,7.351235842052604,11.3,0.6000000000000001,0.01,1.508,0.015097951459484893,21,13.000000000002737,3.5880713178393364e-08
J1520+5500,-2.18,20,3.7820002630263754,22.5,10.000000000000002,0.0,1.492,0.0012944661735904694,111,13.000000000002737,1.9110586113590955e-08
J1523+0714,-2.63,21,3.671301182922446,15.8,1.8,0.025118864315095794,1.678,0.000673671642617224,111,13.000000000002737,5.335705322018214e-09
J1548+2113,-2.33,20,6.794128343592685,10.7,0.6000000000000001,0.003981071705534973,1.433,0.00978407730867159,101,13.000000000002737,2.712884250577474e-09
J1551+2040,-2.48,19,2.8180381237134697,10.6,0.30000000000000004,0.01,1.437,0.024548528647664047,74,2.7379092627716654e-12,6.137046165699545e-08
J1604+1305,-2.15,20,3.9032235089177356,10.7,0.9,0.001,1.42,0.014455102231277384,101,13.000000000002737,3.4716359731401525e-08
J1612-0207,-2.14,21,7.513003849966885,10.6,0.30000000000000004,0.01,1.437,0.038292516893213835,33,13.000000000002737,1.3614108951287562e-08
J1634+0206,-2.15,20,5.642869687964628,13.4,1.2000000000000002,0.01,1.59,0.004515286708767774,33,13.000000000002737,1.557631018611616e-08
J1640+1550,-2.89,20,7.9475145535579,10.5,0.9,0.001,1.419,0.002308159480564953,33,13.000000000002737,1.6672946356877105e-09
J1641+0334,-3.26,14,2.7507586319994988,10.9,0.6000000000000001,0.003981071705534973,1.462,0.0037401514370803413,62,13.000000000002737,7.222919429228369e-09
J1650+4313,-3.02,17,4.645144070798955,10.5,0.6000000000000001,0.003981071705534973,1.434,0.003319489129950892,33,13.000000000002737,1.969911900268073e-09
J1657+3443,-2.6,21,3.5509696976180165,11.9,0.6000000000000001,0.015848931924611134,1.666,0.014012844443016426,33,13.000000000002737,3.641490831096661e-09
J1702+1732,-2.29,20,1.6924402861530958,11.9,0.6000000000000001,0.015848931924611134,1.666,0.02672805885996249,101,13.000000000002737,8.355367620005438e-09
J1717+2449,-2.45,21,2.9937589770921096,10.7,0.6000000000000001,0.003981071705534973,1.433,0.01177182422425982,111,13.000000000002737,1.9166191134178945e-08
J1719+1358,-2.77,21,4.2151874306445185,10.6,0.9,0.001584893192461114,1.405,0.00462263292790549,92,13.000000000002737,5.1286245805748365e-09
J1730+4143,-2.5,21,5.288155127060586,13.4,1.5,0.001,1.576,0.0018735799580849033,33,13.000000000002737,4.9650912825605076e-09
J1745+5410,-2.03,21,3.6333801923770017,13.4,1.2000000000000002,0.01,1.59,0.005195219316876776,33,13.000000000002737,1.4749097665411881e-08
J1833+1309,-2.64,17,2.5235402354860623,11.3,0.6000000000000001,0.00630957344480193,1.508,0.0060002357632713,33,13.000000000002737,4.919788409996073e-09
J2114-0616,-2.55,20,4.132977316915113,13.4,0.9,0.025118864315095794,1.657,0.002792611784171617,31,13.000000000002737,3.123893499434871e-08
J2159+0308,-2.83,20,2.6408492884753327,10.6,0.30000000000000004,0.015848931924611134,1.437,0.005787847668159929,33,13.000000000002737,2.6020218202305045e-09
J2211+0454,-0.63,17,4.67311215101864,10.6,0.6000000000000001,0.00630957344480193,1.41,0.6320538114184758,41,2.7379092627716654e-12,1.2094870226908583e-05
J2216+0246,-2.56,21,3.55142408078695,10.7,0.6000000000000001,0.003981071705534973,1.433,0.008520962921626962,33,13.000000000002737,3.972878692692916e-09
J2256+0215,-2.27,21,3.7615955894559363,10.6,0.30000000000000004,0.01,1.437,0.0300623805563614,72,13.000000000002737,5.259477803276624e-08
J2257+3859,-2.65,20,4.580872627524817,13.4,1.2000000000000002,0.01,1.59,0.0016300868762662568,62,13.000000000002737,2.3169623553087604e-08
J2333+0505,-2.43,20,3.9798713334604545,10.9,0.6000000000000001,0.00630957344480193,1.462,0.010440900865378466,33,13.000000000002737,5.229850774668421e-09
J2347+2851,-2.36,21,5.183366991957864,11.3,0.6000000000000001,0.00630957344480193,1.508,0.009307306091978995,33,13.000000000002737,7.48627437818783e-09
J2349+3119,-2.01,21,4.092116371286559,11.9,0.6000000000000001,0.015848931924611134,1.666,0.04508966204697151,101,13.000000000002737,1.0248021153902442e-08
