property,property,property,property,0,0,0
name,FeH,N,fitness,model,age,offset
J0003+1556,-2.23,7,0.43964684613658556,1,13.000000000002737,2.5174640953518692e-09
J0006+0123,-2.27,4,20.043717337602253,2,7.000000000002738,2.189880261183418e-09
J0040+2729,-2.81,11,2.509146733082487,4,13.000000000002737,1.6062026170503949e-09
J0041+3633,-2.37,7,0.3667477175828966,3,2.7379092627716654e-12,1.3398877971735008e-09
J0055+1857,-2.34,8,2.5133234985345476,2,7.000000000002738,1.156371279154381e-09
J0119-0121,-3.19,5,5.098440553496345,4,13.000000000002737,5.75890672496809e-08
J0124+0458,-3.22,7,1.6387064222029724,4,7.000000000002738,8.397334002592933e-10
J0127+1100,-2.41,7,0.7925417622319995,4,7.000000000002738,4.041385512575401e-09
J0159+1219,-1.94,6,3.0334330473211217,3,7.000000000002738,7.351846963322203e-09
J0302+1356,-1.88,9,1.9738866645861766,4,2.7379092627716654e-12,4.082990793731445e-09
J0405+2141,-3.21,7,1.649303299205968,4,7.000000000002738,7.27545250997762e-10
J0446+2124,-2.82,8,2.2172829011806376,71,7.000000000002738,1.505585570252578e-06
J0554+5235,-2.29,7,1.1306608258648432,74,2.7379092627716654e-12,7.486184256861816e-09
J0643+5934,-2.57,7,0.9036859834643829,4,7.000000000002738,6.826255309788463e-10
J0653+4735,-2.41,12,3.938852119740993,4,13.000000000002737,7.3553142219610054e-09
J0711+3538,-3.25,7,1.1238692898483673,4,7.000000000002738,2.1881768883701321e-10
J0748+3209,-3.08,6,3.648171316631443,1,7.000000000002738,1.1234825311499738e-09
J0804+5740,-2.47,11,1.633803625836543,4,13.000000000002737,2.5322990361517067e-09
J0824+3025,-2.72,2,-9.047985616057744,1,7.000000000002738,2.6962796115004316e-08
J0934-0108,-2.34,8,2.826460186517093,2,7.000000000002738,9.554574157841896e-10
J0948+0000,-2.79,7,2.120442031847481,4,2.7379092627716654e-12,3.18645102790156e-09
J0949+2707,-2.9,4,0.3219516390409779,1,2.7379092627716654e-12,1.3020744313584512e-07
J1003-0358,-2.18,6,4.049791221185171,3,7.000000000002738,5.3372329632001847e-08
J1005-0350,-2.29,6,10.812454748466822,101,7.000000000002738,3.946434300349591e-09
J1011+3524,-2.25,5,10.65048300015151,1,2.7379092627716654e-12,2.078591409578436e-08
J1020+4046,-2.94,7,8.08298204877532,101,7.000000000002738,4.526774136627494e-08
J1044+3713,-2.03,9,1.30341237528669,4,2.7379092627716654e-12,7.010283326652444e-09
J1044-0358,-2.13,5,3.936171295500026,74,7.000000000002738,7.626262219462659e-08
J1058-0138,-2.28,4,15.022376686847103,2,2.7379092627716654e-12,2.081823041351475e-08
J1059+0208,-2.3,7,1.831457632585662,1,2.7379092627716654e-12,2.192407722441668e-09
J1101+2031,-2.52,7,2.0600976737593317,4,2.7379092627716654e-12,5.867828577495523e-10
J1102+0102,-2.32,8,3.4061194274617734,4,13.000000000002737,1.1801222918822227e-09
J1109+0754,-3.31,9,0.6028878220373793,41,7.000000000002738,1.7381082539467647e-09
J1122+1223,-2.3,6,1.036726432252907,4,7.000000000002738,1.3846962388329168e-09
J1145+0359,-2.43,9,1.2298671106171055,4,2.7379092627716654e-12,3.1180052479371346e-09
J1158+0734,-2.93,10,1.4526678875021513,4,13.000000000002737,8.816626501542706e-10
J1205+1309,-1.67,8,3.900629144926331,4,13.000000000002737,1.2464168088762026e-08
J1207+2244,-2.76,8,1.9033608768968306,2,2.7379092627716654e-12,2.9694331065348827e-10
J1208+3954,-2.64,8,0.9079769013017257,4,2.7379092627716654e-12,7.55768526262804e-10
J1213+2506,-2.83,4,3.4801260176285913,2,7.000000000002738,3.36619562392002e-10
J1218+2838,-2.13,5,0.570374716067939,4,13.000000000002737,2.2656756910520273e-09
J1221+0907,-2.34,8,1.642076298010331,4,2.7379092627716654e-12,1.060483980140967e-09
J1225-0452,-2.52,9,1.0287398918666328,4,2.7379092627716654e-12,9.186162728397441e-10
J1226+2323,-2.47,9,0.35553080594719083,4,2.7379092627716654e-12,7.344399244485517e-10
J1236+3424,-2.53,8,0.9701743686181222,4,2.7379092627716654e-12,7.904380393270865e-10
J1250-0307,-2.07,6,1.6664265632964603,4,7.000000000002738,3.1880299802143983e-09
J1300+2632,-1.28,6,10.916431283469203,2,7.000000000002738,7.756102758160647e-08
J1341+3255,-2.81,9,0.7797326848283258,4,2.7379092627716654e-12,1.0896211227563104e-09
J1345+0513,-2.69,8,1.6119220927776037,74,7.000000000002738,7.15309553086208e-10
J1352+2646,-3.06,6,1.5844983478315253,1,7.000000000002738,1.6696271349944025e-10
J1400+1215,-2.42,8,1.3194937163959026,4,2.7379092627716654e-12,1.6126400841282176e-09
J1400+4926,-2.58,6,5.060339274117126,33,13.000000000002737,2.532164033634841e-09
J1413+1727,-3.25,6,1.831743535559518,111,7.000000000002738,4.491766961015217e-10
J1414+1457,-2.58,9,0.37810244370258356,4,7.000000000002738,9.923261762451077e-10
J1414+1721,-2.45,6,1.5066311279896825,2,7.000000000002738,8.231292313134359e-10
J1423+0322,-2.61,8,0.45297904907590264,4,7.000000000002738,5.722265317992437e-10
J1434+3540,-1.91,7,6.093869429201138,4,13.000000000002737,4.106323208418957e-08
J1459+0444,-2.76,9,0.7821774681417382,4,7.000000000002738,4.742157456129442e-10
J1501+3445,-2.61,7,1.2897785488603186,2,7.000000000002738,1.0488250680114387e-09
J1516+0442,-2.33,8,1.0346328148103991,4,2.7379092627716654e-12,9.824027670398971e-10
J1518+2544,-2.15,7,1.0295017330896838,3,2.7379092627716654e-12,2.249825140661557e-09
J1520+5500,-2.18,7,1.3076220623341586,1,2.7379092627716654e-12,3.636165569929518e-09
J1523+0714,-2.63,10,0.5647478921039444,4,13.000000000002737,9.72644298202755e-10
J1548+2113,-2.33,7,5.995435897972469,2,7.000000000002738,7.385681874347179e-10
J1551+2040,-2.48,9,23.535188542265573,4,13.000000000002737,2.805560613184573e-08
J1604+1305,-2.15,10,1.7612045624898813,4,13.000000000002737,1.1558975162976006e-08
J1612-0207,-2.14,7,0.8754240776988351,3,7.000000000002738,2.5157657831696917e-09
J1634+0206,-2.15,7,0.5871870946052589,3,7.000000000002738,3.86148335988064e-09
J1640+1550,-2.89,8,0.4540628252699664,1,7.000000000002738,2.504729936045602e-10
J1641+0334,-3.26,7,0.8471532347132619,74,7.000000000002738,5.957094189159011e-09
J1650+4313,-3.02,7,2.210917392023599,2,7.000000000002738,5.726788028920522e-10
J1657+3443,-2.6,9,2.1347043765447915,2,2.7379092627716654e-12,7.577874619120348e-10
J1702+1732,-2.29,6,1.2463288870075622,4,7.000000000002738,2.2720010879422386e-09
J1717+2449,-2.45,11,2.248412998987134,4,13.000000000002737,4.18049282987899e-09
J1719+1358,-2.77,8,1.1385980189715716,3,2.7379092627716654e-12,8.363420914958704e-10
J1730+4143,-2.5,8,0.9036962225188898,3,2.7379092627716654e-12,1.0370033193035976e-09
J1745+5410,-2.03,8,1.0787284722713597,1,2.7379092627716654e-12,2.3861846781033666e-09
J1833+1309,-2.64,4,0.7086909743013277,1,7.000000000002738,7.265314994032439e-10
J2114-0616,-2.55,12,10.424431014602613,3,13.000000000002737,8.646553492493251e-09
J2159+0308,-2.83,10,0.8522458696859196,4,13.000000000002737,7.668761044561639e-10
J2211+0454,-0.63,12,6.994552990581592,3,13.000000000002737,1.6821773890450005e-06
J2216+0246,-2.56,9,0.6672401256376737,4,7.000000000002738,7.740105085427753e-10
J2256+0215,-2.27,12,8.557509089386357,4,13.000000000002737,5.992167059708451e-09
J2257+3859,-2.65,9,13.95872054486018,4,13.000000000002737,5.292107256784766e-09
J2333+0505,-2.43,5,4.908102617215956,2,7.000000000002738,1.011323616676777e-09
J2347+2851,-2.36,9,1.6163852772032767,4,2.7379092627716654e-12,1.7536727019546744e-09
J2349+3119,-2.01,9,3.6131612461652285,2,7.000000000002738,2.5751435531395803e-09
