Elm.,Z,log_eps,Mass fraction,s-,r-,p-
Ga,31,3.15,7.00E-08,0.73,0.27,0
Ge,32,3.645,2.28E-07,0.636,0.364,0
As,33,2.372,1.25E-08,0.581,0.419,0
Se,34,3.416,1.46E-07,0.379,0.612,0.008
Br,35,2.616,2.35E-08,0.265,0.735,0
Kr,36,3.334,1.28E-07,0.387,0.61,0.003
Rb,37,2.446,1.69E-08,0.51,0.49,0
Sr,38,2.953,5.58E-08,0.912,0.083,0.005
Y,39,2.252,1.13E-08,0.778,0.222,0
Zr,40,2.619,2.70E-08,0.817,0.183,0
Nb,41,1.479,1.99E-09,0.651,0.349,0
Mo,42,1.993,6.71E-09,0.497,0.275,0.228
Ru,44,1.837,4.94E-09,0.338,0.591,0.071
Rh,45,1.155,1.04E-09,0.122,0.878,0
Pd,46,1.719,3.96E-09,0.448,0.542,0.01
Ag,47,1.277,1.45E-09,0.209,0.791,0
Cd,48,1.784,4.85E-09,0.548,0.432,0.021
In,49,0.837,5.60E-10,0.374,0.582,0.044
Sn,50,2.144,1.17E-08,0.68,0.301,0.019
Sb,51,1.082,1.05E-09,0.247,0.753,0
Te,52,2.258,1.64E-08,0.192,0.807,0.001
I,53,1.628,3.83E-09,0.032,0.968,0
Xe,54,2.324,1.96E-08,0.182,0.816,0.002
Cs,55,1.156,1.35E-09,0.157,0.843,0
Ba,56,2.237,1.68E-08,0.888,0.109,0.002
La,57,1.247,1.74E-09,0.799,0.2,0.001
Ce,58,1.658,4.53E-09,0.848,0.148,0.004
Pr,59,0.822,6.64E-10,0.535,0.465,0
Nd,60,1.519,3.38E-09,0.615,0.385,0
Sm,62,1.013,1.10E-09,0.325,0.647,0.029
Eu,63,0.58,4.10E-10,0.049,0.951,0
Gd,64,1.143,1.55E-09,0.163,0.835,0.002
Tb,65,0.389,2.76E-10,0.072,0.928,0
Dy,66,1.193,1.80E-09,0.151,0.847,0.001
Ho,67,0.546,4.11E-10,0.074,0.926,0
Er,68,1.006,1.20E-09,0.184,0.799,0.017
Tm,69,0.195,1.88E-10,0.128,0.872,0
Yb,70,0.995,1.22E-09,0.429,0.57,0.001
Lu,71,0.168,1.83E-10,0.204,0.796,0
Hf,72,0.786,7.74E-10,0.605,0.393,0.002
Ta,73,-0.091,1.04E-10,0.503,0.497,0
W,74,0.724,6.91E-10,0.601,0.397,0.001
Re,75,0.351,2.97E-10,0.154,0.846,0
Os,76,1.417,3.53E-09,0.103,0.897,0
Ir,77,1.413,3.53E-09,0.011,0.989,0
Pt,78,1.692,6.81E-09,0.078,0.922,0
Au,79,0.877,1.05E-09,0.058,0.942,0
Hg,80,1.248,2.52E-09,0.548,0.45,0.002
Tl,81,0.849,1.03E-09,0.76,0.24,0
Pb,82,2.106,1.88E-08,0.831,0.169,0
Bi,83,0.727,7.91E-10,0.216,0.784,0
Th,90,0.23,2.80E-10,0,1,0
U,92,-0.037,1.55E-10,0,1,0
